Id,Type,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,aux_date_col
183,1,Maldives,125,111,105,97,89,75,71,71,72,71,67,62,60,58,56,54,54,53,28-06-2021
184,1,Mali,836,797,764,739,715,691,675,663,661,661,660,663,663,663,642,620,590,562,29-06-2021
185,1,Malta,9,10,9,10,9,8,8,8,8,7,8,7,7,7,6,7,6,6,30-06-2021
188,1,Mauritania,834,835,836,836,830,826,821,820,819,822,824,822,812,805,796,785,777,766,01-07-2021
189,1,Mauritius,59,54,54,57,54,53,55,56,53,59,66,54,63,60,70,73,67,61,02-07-2021
191,1,Mexico,55,55,56,55,54,54,51,49,49,51,46,43,41,39,38,36,34,33,03-07-2021
192,1,Micronesia (Federated States of),154,150,163,141,137,133,128,123,118,114,110,106,103,99,96,95,90,88,04-07-2021
194,1,Mongolia,155,138,124,114,106,98,91,85,80,73,66,59,54,51,49,47,46,45,05-07-2021
195,1,Montenegro,12,12,11,11,10,9,9,8,8,8,7,7,7,6,6,6,6,6,06-07-2021
197,1,Morocco,188,174,162,152,142,131,121,113,106,99,92,86,81,78,76,74,72,70,07-07-2021
198,1,Mozambique,798,745,700,657,615,577,539,505,471,439,412,389,371,356,339,318,301,289,08-07-2021
199,1,Myanmar,340,331,323,314,307,299,293,287,289,274,265,259,254,251,247,246,245,250,09-07-2021
200,1,Namibia,348,352,356,359,358,346,328,306,284,276,266,256,240,231,223,217,207,195,10-07-2021
202,1,Nepal,553,521,520,470,447,415,386,361,342,323,305,285,266,248,231,236,200,186,11-07-2021
203,1,Netherlands,13,13,13,12,11,11,9,9,8,8,7,7,7,6,6,6,6,5,12-07-2021
206,1,New Zealand,12,11,12,12,11,11,11,11,10,11,11,10,10,9,10,10,10,9,13-07-2021
207,1,Nicaragua,162,157,151,145,138,131,124,121,116,113,112,110,108,105,103,101,100,98,14-07-2021
208,1,Niger,813,803,795,782,770,755,739,725,709,688,663,639,616,594,573,555,530,509,15-07-2021
209,1,Nigeria,1200,1200,1180,1170,1130,1080,1040,1010,996,987,978,972,963,951,943,931,925,917,16-07-2021
213,1,Norway,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,17-07-2021
214,1,Oman,20,20,20,20,19,19,18,18,18,18,18,18,18,18,18,19,19,19,18-07-2021
215,1,Pakistan,286,275,264,254,243,237,222,214,205,199,191,180,173,166,161,154,143,140,19-07-2021
217,1,Panama,91,86,91,93,88,88,88,86,84,82,79,76,74,66,60,58,55,52,20-07-2021
218,1,Papua New Guinea,249,242,234,225,213,200,187,179,173,170,168,166,164,160,155,151,148,145,21-07-2021
